motivation_seeking_class,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_virtual_session,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm,new_class_interest,new_class_interest_specific
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,3,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,Yes,No,No,Some Impact,,,,,,,,,High Impact,,High School,1,
To keep current in computing skills;Career Advancement;Career Change;Professional Development;IT Industry Certifications,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Web site;Family member or friend;Current student;High School;Live nearby,5,
It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Social Media;Community Event;Family member or friend;Employer;Current student;High School,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Current student;High School,5,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Personal Enrichment;Curiosity,No,No,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,Some Impact,Some Impact,Web site;Billboard;Family member or friend;Current student;Alumni;High School,3,
It’s a required class for the degree I’m seeking,No,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Alumni;High School,5,
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,,,,,,,,,,,,Family member or friend;High School,4,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Personal Enrichment,Yes,No,No,No,No,Yes,,,,,,,,Some Impact,High Impact,No Impact,No Impact,Web site;Family member or friend;Alumni;High School,4,
It’s a required class for the degree I’m seeking,Yes,No,Yes,No,No,No,,,,,,,,Some Impact,No Impact,,Some Impact,Billboard;Family member or friend;I would pass by CCM all the time,2,
